Designator,Mid X,Mid Y,Rotation,Layer
C1,108.725,-115.8625,0.0,top
C10,100.72,-61.98,90.0,top
C11,67.66,-68.16,270.0,top
C12,103.365,-69.4725,0.0,top
C13,64.995,-60.66,180.0,top
C14,94.805,-65.05,0.0,top
C15,73.61,-65.0075,180.0,top
C16,81.6875,-125.9125,180.0,top
C17,67.005529,-126.006531,180.0,top
C18,102.54,-78.72,180.0,top
C19,73.525,-78.71,180.0,top
C2,94.925,-73.765,180.0,top
C20,83.4175,-117.9125,180.0,top
C21,68.584,-117.851,180.0,top
C22,73.5,-83.17,180.0,top
C23,102.51,-83.2,180.0,top
C24,102.55,-73.515,0.0,top
C25,73.475,-73.4,0.0,top
C26,69.63,-68.16,270.0,top
C27,98.76,-61.98,90.0,top
C28,73.77,-118.15,270.0,top
C29,88.42,-118.1,270.0,top
C3,94.925,-76.0,0.0,top
C4,66.025,-73.7,180.0,top
C5,66.025,-75.925,0.0,top
C6,94.925,-78.25,180.0,top
C7,94.925,-80.5,0.0,top
C8,66.025,-78.15,180.0,top
C9,66.025,-80.4,0.0,top
D1,108.73,-113.92,0.0,top
D2,86.29,-118.6,270.0,top
D3,71.64,-118.65,270.0,top
H1,144.24,-125.05,180.0,top
H2,144.24,-60.85,180.0,top
H3,59.04,-60.85,180.0,top
H4,59.04,-125.05,180.0,top
J1,98.72,-89.75,0.0,top
J10,102.54,-80.97,0.0,top
J11,94.7,-60.76,90.0,top
J12,62.58,-115.82,0.0,top
J13,117.89,-74.39,270.0,top
J14,144.07,-74.39,0.0,top
J15,73.51,-80.94,0.0,top
J16,73.74,-60.71,270.0,top
J17,62.06,-66.72,90.0,top
J18,106.33,-63.43,270.0,top
J2,69.72,-89.75,0.0,top
J20,84.2,-62.85,180.0,top
J3,128.68,-63.24,90.0,top
J4,115.75,-64.515,90.0,top
J5,88.25,-75.775,0.0,top
J6,88.25,-84.43,0.0,top
J7,59.25,-75.78,0.0,top
J8,59.25,-84.43,0.0,top
J9,82.84,-71.8,270.0,top
L1,87.59,-123.3,90.0,top
L2,72.865,-123.35,90.0,top
Q1,99.855,-65.9125,90.0,top
Q2,68.56,-64.145,270.0,top
R1,144.66,-111.765,90.0,top
R10,80.7175,-118.8825,90.0,top
R11,65.409,-121.788,180.0,top
R12,65.409,-123.693,180.0,top
R13,102.55,-76.74,0.0,top
R14,73.5125,-76.775,0.0,top
R15,65.79,-118.5095,90.0,top
R16,99.16,-80.98,180.0,top
R17,70.18,-80.95,180.0,top
R2,103.395,-64.875,180.0,top
R3,64.995,-65.1825,0.0,top
R4,103.395,-62.7225,180.0,top
R5,64.995,-67.41,0.0,top
R6,103.395,-67.2225,180.0,top
R7,64.995,-62.91,0.0,top
R8,83.3575,-119.8525,0.0,top
R9,68.584,-119.883,0.0,top
SW1,144.66,-107.585,0.0,top
TP1,137.12,-75.66,0.0,bottom
TP2,137.12,-73.12,0.0,bottom
TP3,124.84,-98.52,0.0,bottom
TP4,124.84,-101.06,0.0,bottom
TP5,124.84,-106.14,0.0,bottom
U1,130.98,-97.25,180.0,top
U2,83.6275,-122.8625,90.0,top
U3,68.905,-122.9065,90.0,top
