Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Manufacturer,Mfg Part #,Mfg Part Desc,Mfg Qty,Sim.Device,Sim.Pins,Optional Part,Optional datasheet,Optional Part #
C1,1,10uF,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,,,,smt,T491A106(1)004A(2),KEMET,T491A106K016AT,10uF 16V 3Ω@100kHz ±10% CASE-A-3216-18(mm) Tantalum Capacitors,1,,,,,
"C10, C11",2,1000pF,C_0805_2012Metric,,,,smt,,Samsung,CL21B102KBANNNC,50V 1nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS ,1,,,,,
"C12, C13, C2, C4, C6, C8",6,470pF,C_0805_2012Metric,,,,smt,,Guangdong Fenghua Advanced Tech,0805B471K500NT,50V 470pF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS ,1,,,,,
"C14, C15, C27, C28, C29, C30, C31, C32",8,100nF,C_0805_2012Metric,,,,smt,,Samsung,CL21B104KBCNNNC,50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS ,1,,,,,
"C16, C17",2,10uF,CP_Elec_4x5.3,,,,smt,10UF 25V 4x5.4mm,Honor Elec,RVT1E100M0405,"10uF 25V ±20% SMD,D4xL5.4mm Aluminum Electrolytic Capacitors - SMD ROHS ",1,,,,,
"C18, C19, C20, C21, C22, C23, C24, C25, C26",9,22uF,C_0805_2012Metric,,,,smt,,Samsung,CL21A226MAQNNNE,25V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS ,1,,,,,
"C3, C5, C7, C9",4,22nF,C_0805_2012Metric,,,,smt,,Samsung,CL21B223KBANNNC,50V 22nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS ,1,,,,,
"D1, D2, D3, D4, D5, D6",6,MBR120,SOD-123FL_diode,,,,smt,"Schottky diode, small symbol",onsemi,MBR120VLSFT1G,20V 300mV@1A 1A SOD-123FL Schottky Diodes ROHS ,1,D,1=K 2=A,,,
J1,1,SID1 (DIP28-Wide-socket),DIP-28_W15.24mm_Socket_enlargedholes,,,,tht,DIP-28_W15.24mm_Socket,CONNFLY Elec,DS1009-28AT1WX-0A2,28P DIP Tin 15.24mm 2.54mm DIP-28 IC / Transistor Socket ROHS,1,,,DIP-28 IC / Transistor Socket ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2410121342_HanElectricity-H2541FV-C1524-2x14P_C22387113.pdf,H2541FV-C1524-2x14P
J10,1,S2 6581/8580 J2,PinHeader_1x03_P2.54mm_Vertical,,,,tht,PinHeader_1x03_P2.54mm_Vertical,XUNPU,PH2.54-01-03PZD,"Direct Insert Policy 2.5mm 6mm 3P -40℃~+105℃ 3mm 2.54mm Black Brass Single Row 1x3P Plugin,P=2.54mm Pin Headers ROHS ",1,,,,,
J17,1,A5,PinHeader_1x03_P2.54mm_Vertical,,,Yes,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",XUNPU,PH2.54-01-02PZD,"Direct Insert Policy 2.5mm 6mm 2P -40℃~+105℃ 3mm 2.54mm Black Brass Single Row 1x2P Plugin,P=2.54mm Pin Headers ROHS ",1,,,,,
J18,1,UART,PinHeader_1x03_P2.54mm_Vertical,,,Yes,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",XUNPU,PH2.54-01-02PZD,"Direct Insert Policy 2.5mm 6mm 2P -40℃~+105℃ 3mm 2.54mm Black Brass Single Row 1x2P Plugin,P=2.54mm Pin Headers ROHS ",1,,,,,
J2,1,SID2 (DIP28-Wide-socket),DIP-28_W15.24mm_Socket_enlargedholes,,,,tht,DIP-28_W15.24mm_Socket,CONNFLY Elec,DS1009-28AT1WX-0A2,28P DIP Tin 15.24mm 2.54mm DIP-28 IC / Transistor Socket ROHS,1,,,DIP-28 IC / Transistor Socket ROHS,https://www.lcsc.com/datasheet/lcsc_datasheet_2410121342_HanElectricity-H2541FV-C1524-2x14P_C22387113.pdf,H2541FV-C1524-2x14P
J20,1,SID1 12v/9v,PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",XUNPU,PH2.54-01-02PZD,"Direct Insert Policy 2.5mm 6mm 2P -40℃~+105℃ 3mm 2.54mm Black Brass Single Row 1x2P Plugin,P=2.54mm Pin Headers ROHS ",1,,,,,
J21,1,SID2 12v/9v,PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",XUNPU,PH2.54-01-02PZD,"Direct Insert Policy 2.5mm 6mm 2P -40℃~+105℃ 3mm 2.54mm Black Brass Single Row 1x2P Plugin,P=2.54mm Pin Headers ROHS ",1,,,,,
J24,1,OPT,PinHeader_1x04_P2.54mm_Vertical,,,Yes,tht,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",XUNPU,PH2.54-01-02PZD,"Direct Insert Policy 2.5mm 6mm 2P -40℃~+105℃ 3mm 2.54mm Black Brass Single Row 1x2P Plugin,P=2.54mm Pin Headers ROHS ",1,,,,,
J3,1,S1 6581/8580 J1,PinHeader_1x03_P2.54mm_Vertical,,,,tht,PinHeader_1x03_P2.54mm_Vertical,XUNPU,PH2.54-01-03PZD,"Direct Insert Policy 2.5mm 6mm 3P -40℃~+105℃ 3mm 2.54mm Black Brass Single Row 1x3P Plugin,P=2.54mm Pin Headers ROHS ",1,,,,,
J4,1,S2 6581/8580 J1,PinHeader_1x03_P2.54mm_Vertical,,,,tht,PinHeader_1x03_P2.54mm_Vertical,XUNPU,PH2.54-01-03PZD,"Direct Insert Policy 2.5mm 6mm 3P -40℃~+105℃ 3mm 2.54mm Black Brass Single Row 1x3P Plugin,P=2.54mm Pin Headers ROHS ",1,,,,,
J6,1,GND/S1,PinHeader_1x03_P2.54mm_Vertical,,,Yes,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",XUNPU,PH2.54-01-02PZD,"Direct Insert Policy 2.5mm 6mm 2P -40℃~+105℃ 3mm 2.54mm Black Brass Single Row 1x2P Plugin,P=2.54mm Pin Headers ROHS ",1,,,,,
J7,1,S2/GND,PinHeader_1x03_P2.54mm_Vertical,,,Yes,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",XUNPU,PH2.54-01-02PZD,"Direct Insert Policy 2.5mm 6mm 2P -40℃~+105℃ 3mm 2.54mm Black Brass Single Row 1x2P Plugin,P=2.54mm Pin Headers ROHS ",1,,,,,
