Designator,Mid X,Mid Y,Rotation,Layer
C1,59.023882,-114.487716,270.0,top
C10,98.483881,-117.542717,270.0,top
C11,138.24638,-117.542717,270.0,top
C12,100.443881,-117.542716,90.0,top
C13,136.286381,-117.542717,270.0,top
C14,108.863882,-118.262715,0.0,top
C15,127.863882,-118.262715,180.0,top
C16,107.063881,-121.712716,180.0,top
C17,129.663882,-121.712715,0.0,top
C18,60.246381,-71.442715,180.0,top
C19,83.346381,-68.699215,180.0,top
C2,107.911381,-92.947715,180.0,top
C20,71.783882,-68.707716,180.0,top
C21,61.191381,-63.437715,180.0,top
C22,84.296381,-60.704716,180.0,top
C23,72.73388,-60.705216,180.0,top
C24,65.971382,-63.342715,270.0,top
C25,89.078881,-60.597716,270.0,top
C26,77.516381,-60.607715,270.0,top
C27,100.41918,-92.947716,0.0,top
C28,128.81688,-92.947715,0.0,top
C29,128.816881,-88.467716,0.0,top
C3,107.911382,-95.197715,0.0,top
C30,100.419182,-88.467716,0.0,top
C31,100.41918,-95.487715,180.0,top
C32,128.816881,-95.487715,180.0,top
C4,136.150881,-92.947715,180.0,top
C5,136.150881,-95.172716,0.0,top
C6,107.911381,-88.447716,180.0,top
C7,107.911381,-90.697715,0.0,top
C8,136.150881,-88.497715,180.0,top
C9,136.150881,-90.722717,0.0,top
D1,61.203881,-114.487715,270.0,top
D2,63.941381,-64.017715,270.0,top
D3,87.048882,-61.272715,270.0,top
D4,75.486382,-61.282715,270.0,top
D5,119.413882,-103.997715,90.0,top
D6,117.313881,-103.997717,90.0,top
H1,60.11388,-57.407716,0.0,top
H2,60.113881,-121.607715,0.0,top
H3,145.313881,-121.607715,0.0,top
H4,145.313881,-57.407716,0.0,top
J1,104.243881,-81.517715,180.0,top
J10,128.916882,-101.507715,270.0,top
J11,95.303881,-114.652715,180.0,top
J12,141.42638,-114.650215,0.0,top
J13,100.481682,-90.697715,180.0,top
J14,128.879882,-90.697715,180.0,top
J2,132.48388,-81.517716,180.0,top
J20,71.038881,-57.925215,270.0,top
J21,82.601381,-57.925215,270.0,top
J3,107.815881,-101.507715,270.0,top
J4,137.563881,-101.507715,270.0,top
J8,118.363882,-120.112715,0.0,top
J9,99.16388,-101.507716,270.0,top
L1,64.241381,-68.437715,90.0,top
L2,87.346382,-65.694215,90.0,top
L3,75.783881,-65.702715,90.0,top
Q1,105.243882,-117.542715,180.0,top
Q2,131.483881,-117.542715,0.0,top
R1,59.668881,-102.990215,90.0,top
R10,72.733882,-62.670215,0.0,top
R11,58.511382,-63.305215,90.0,top
R12,80.916381,-62.669717,180.0,top
R13,80.916382,-64.569715,180.0,top
R14,69.353882,-62.670215,180.0,top
R15,69.353882,-64.570215,180.0,top
R16,80.916381,-60.769215,0.0,top
R17,69.353882,-60.770215,0.0,top
R18,103.811681,-90.697715,0.0,top
R19,132.209881,-90.697715,0.0,top
R2,102.373882,-117.580215,270.0,top
R20,103.811681,-92.947716,0.0,top
R21,132.209881,-92.947715,0.0,top
R3,94.653882,-117.580216,90.0,top
R4,134.354382,-117.580215,270.0,top
R5,142.076381,-117.580215,90.0,top
R6,96.553882,-117.580216,90.0,top
R7,140.176381,-117.580215,90.0,top
R8,61.191381,-65.402715,0.0,top
R9,84.296381,-62.669717,0.0,top
SW1,59.668882,-98.372715,0.0,top
U1,75.237484,-98.546701,180.0,top
U2,61.191382,-68.412716,90.0,top
U3,84.296381,-65.669215,90.0,top
U4,72.733882,-65.677716,90.0,top
U5,118.363882,-110.982715,180.0,top
