"Reference","Qty","Value","Footprint","Manufacturer","Mfg Part #","Mfg Part Desc"
"C1,C2","2","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","FOJAN","FCC0805B104K500DT","CAP CER 100nF 50V X7R 0805"
"C5,C6,C11","3","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","FOJAN","FCC0805X106K500FT","CAP CER 10uF 50V X5R 0805"
"C7,C8","2","100pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","FOJAN","FCC0805N101J500BT","CAP CER 100pF 50V C0G 0805"
"C9,C10","2","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","FOJAN","FCC0805B105K500FT","CAP CER 1uF 50V X7R 0805"
"C3,C4","2","47uF 16v","Capacitor_SMD:CP_Elec_5x5.4","FOSAN","FVH016ADA470M0554","CAP ALUM 47uF ±20% 16V SMD"
"J1","1","GND/S1","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","XUNPU","PH2.54-01-04PZD","PH2.54-01-04PZD"
"J2","1","S2/GND","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","XUNPU","PH2.54-01-04PZD","PH2.54-01-04PZD"
"J4","1","1503 17","LouD:Lumberg 1503 17","Lumberg","134382 1503-17 / SJ1-3525N","Through Hole Audio Connectors RoHS"
"RV1","1","Left Volume","LouD:PotentioMeter","ALPSALPINE","RK09K1130AAU","POT 10kΩ Through Hole"
"RV2","1","Right Volume","LouD:PotentioMeter","ALPSALPINE","RK09K1130AAU","POT 10kΩ Through Hole"
"U1","1","OPA1688IDR","LouD:SOIC127P599X175-8N","Texas Instruments","OPA1688IDR","36-V, Single-Supply, 10-MHz, Rail-to-Rail Output Operational Amplifiers"
"D1","1","BAT54C","Package_TO_SOT_SMD:SOT-23","Diodes Incorporated","BAT54C-7-F","DIODE ARR SCHOTTKY 30V SOT-23"
"R1,R2,R9,R10","4","10k","Resistor_SMD:R_0805_2012Metric","UNI-ROYAL","0805W8F1002T5E","RES 10kΩ ±1% 125mW 0805"
"R3,R4","2","10r","Resistor_SMD:R_0805_2012Metric","","0805W8F100JT5E","RES 10Ω ±1% 125mW 0805"
"R5,R6,R7,R8","4","47k","Resistor_SMD:R_0805_2012Metric","","0805W8F4702T5E","RES 47kΩ ±1% 125mW 0805"
